日期,原神
2022-01-28,133126
2022-01-29,129359
2022-01-30,125427
2022-01-31,129974
2022-02-01,129030
2022-02-02,125082
2022-02-03,119168
2022-02-04,132236
2022-02-05,124856
2022-02-06,117782
2022-02-07,115899
2022-02-08,114406
2022-02-09,118331
2022-02-10,112221
2022-02-11,110296
2022-02-12,112614
2022-02-13,105976
2022-02-14,105692
2022-02-15,111360
2022-02-16,154292
2022-02-17,103737
2022-02-18,117269
2022-02-19,134600
2022-02-20,108385
2022-02-21,81715
2022-02-22,81967
2022-02-23,79250
2022-02-24,75954
2022-02-25,94434
2022-02-26,129416
2022-02-27,104496
2022-02-28,68009
2022-03-01,67973
2022-03-02,67252
2022-03-03,70444
2022-03-04,93090
2022-03-05,135869
2022-03-06,111101
2022-03-07,75881
2022-03-08,88114
2022-03-09,86852
2022-03-10,80595
2022-03-11,109091
2022-03-12,158709
2022-03-13,126911
2022-03-14,87965
2022-03-15,91863
2022-03-16,96559
2022-03-17,99821
2022-03-18,129872
2022-03-19,149368
2022-03-20,120782
2022-03-21,89923
2022-03-22,85142
2022-03-23,84129
2022-03-24,88153
2022-03-25,109043
2022-03-26,139198
2022-03-27,118197
2022-03-28,91062
2022-03-29,93969
2022-03-30,154819
2022-03-31,114598
2022-04-01,113445
2022-04-02,145008
2022-04-03,165038
2022-04-04,148703
2022-04-05,130250
2022-04-06,104821
2022-04-07,107333
2022-04-08,108885
2022-04-09,128747
2022-04-10,112809
2022-04-11,86376
2022-04-12,85135
2022-04-13,89248
2022-04-14,86955
2022-04-15,105062
2022-04-16,132009
2022-04-17,108854
2022-04-18,79757
2022-04-19,87435
2022-04-20,84061
2022-04-21,82847
2022-04-22,101226
2022-04-23,122654
2022-04-24,82846
2022-04-25,75789
2022-04-26,73825
2022-04-27,75557
2022-04-28,78728
2022-04-29,114694
2022-04-30,171648
2022-05-01,145151
2022-05-02,122807
2022-05-03,111336
2022-05-04,97641
2022-05-05,87152
2022-05-06,86676
2022-05-07,104972
2022-05-08,113832
2022-05-09,80670
2022-05-10,79098
2022-05-11,81855
2022-05-12,78636
2022-05-13,96947
2022-05-14,139973
2022-05-15,111351
2022-05-16,71803
2022-05-17,69379
2022-05-18,70353
2022-05-19,72082
2022-05-20,101442
2022-05-21,140341
2022-05-22,106939
2022-05-23,65254
2022-05-24,62931
2022-05-25,64708
2022-05-26,66432
2022-05-27,87976
2022-05-28,125968
2022-05-29,100556
2022-05-30,72314
2022-05-31,141089
2022-06-01,97769
2022-06-02,141536
2022-06-03,182550
2022-06-04,143318
2022-06-05,122879
2022-06-06,95810
2022-06-07,87213
2022-06-08,87989
2022-06-09,91389
2022-06-10,99953
2022-06-11,126124
2022-06-12,111380
2022-06-13,80690
2022-06-14,79583
2022-06-15,81001
2022-06-16,84399
2022-06-17,99022
2022-06-18,130162
2022-06-19,120111
2022-06-20,95281
2022-06-21,94102
2022-06-22,91644
2022-06-23,92782
2022-06-24,101695
2022-06-25,121888
2022-06-26,111160
2022-06-27,92638
2022-06-28,92407
2022-06-29,98325
2022-06-30,105922
2022-07-01,120013
